min_entry,max_entry,exit_threshold,n_trades,proj_60d,total_pnl,sharpe,win_rate,exit_rate,max_dd,mean_pnl_per_trade
0.15,0.7,0.2,118,141.6,5.025000000000002,0.6741046532150009,0.635593220338983,0.559322033898305,-15.774999999999999,0.04258474576271188
0.15,0.7,0.22,118,141.6,-9.724999999999993,-1.2896266294359948,0.5677966101694916,0.4745762711864407,-33.125,-0.08241525423728809
0.15,0.7,0.25,118,141.6,-10.825000000000005,-1.3367191502679772,0.5254237288135594,0.3983050847457627,-33.475,-0.09173728813559319
0.15,0.7,0.3,118,141.6,-8.375000000000002,-0.9822495987597367,0.4745762711864407,0.288135593220339,-36.45,-0.07097457627118645
0.2,0.45,0.1,102,122.4,-3.9499999999999984,-0.8556230506027328,0.7745098039215687,0.7647058823529411,-13.999999999999998,-0.038725490196078426
0.2,0.45,0.12,102,122.4,-3.7250000000000005,-0.7670654485399038,0.7352941176470589,0.7156862745098039,-14.700000000000001,-0.03651960784313726
0.2,0.45,0.15,102,122.4,0.8500000000000014,0.13389662545360634,0.6862745098039216,0.6372549019607843,-14.9,0.00833333333333333
0.2,0.45,0.18,102,122.4,9.649999999999997,1.4986213505550907,0.6764705882352942,0.6176470588235294,-9.725000000000007,0.09460784313725487
0.2,0.45,0.2,102,122.4,5.975000000000001,0.8907678181213974,0.6372549019607843,0.5686274509803921,-13.375,0.058578431372549034
0.2,0.45,0.22,102,122.4,-9.574999999999994,-1.3892129674132976,0.5588235294117647,0.47058823529411764,-30.424999999999997,-0.09387254901960779
0.2,0.45,0.25,102,122.4,-13.250000000000002,-1.8037368233321123,0.5098039215686274,0.39215686274509803,-33.05,-0.12990196078431374
0.2,0.45,0.3,102,122.4,-12.550000000000002,-1.586426405984074,0.45098039215686275,0.2647058823529412,-37.275000000000006,-0.12303921568627453
0.2,0.5,0.1,116,139.2,1.575000000000002,0.299121784699001,0.7844827586206896,0.7586206896551724,-12.824999999999998,0.013577586206896562
0.2,0.5,0.12,116,139.2,-0.2999999999999985,-0.05611726607897976,0.7413793103448276,0.7068965517241379,-12.825000000000001,-0.002586206896551696
0.2,0.5,0.15,116,139.2,2.6000000000000005,0.3744400049928677,0.6896551724137931,0.6293103448275862,-15.324999999999998,0.02241379310344828
0.2,0.5,0.18,116,139.2,9.374999999999991,1.2850148933524925,0.6724137931034483,0.603448275862069,-13.625000000000002,0.08081896551724137
0.2,0.5,0.2,116,139.2,3.025000000000002,0.4053084039027599,0.6293103448275862,0.5517241379310345,-17.775,0.02607758620689657
0.2,0.5,0.22,116,139.2,-11.924999999999992,-1.5648042400203575,0.5603448275862069,0.46551724137931033,-35.324999999999996,-0.10280172413793098
0.2,0.5,0.25,116,139.2,-13.325000000000005,-1.6296770730393098,0.5172413793103449,0.3879310344827586,-35.975,-0.11487068965517241
0.2,0.5,0.3,116,139.2,-11.375000000000002,-1.3211660957718268,0.46551724137931033,0.27586206896551724,-39.45,-0.09806034482758617
0.2,0.55,0.1,118,141.6,2.575000000000002,0.4913023057173668,0.788135593220339,0.7627118644067796,-11.824999999999998,0.0218220338983051
0.2,0.55,0.12,118,141.6,0.9000000000000008,0.16906255926436492,0.7457627118644068,0.711864406779661,-11.625,0.007627118644067807
0.2,0.55,0.15,118,141.6,4.1000000000000005,0.5919732601093725,0.6949152542372882,0.635593220338983,-13.825,0.034745762711864414
0.2,0.55,0.18,118,141.6,11.174999999999992,1.5358760709769743,0.6779661016949152,0.6101694915254238,-11.825000000000001,0.09470338983050844
0.2,0.55,0.2,118,141.6,5.025000000000002,0.6741046532150009,0.635593220338983,0.559322033898305,-15.774999999999999,0.04258474576271188
0.2,0.55,0.22,118,141.6,-9.724999999999993,-1.2896266294359948,0.5677966101694916,0.4745762711864407,-33.125,-0.08241525423728809
0.2,0.55,0.25,118,141.6,-10.825000000000005,-1.3367191502679772,0.5254237288135594,0.3983050847457627,-33.475,-0.09173728813559319
0.2,0.55,0.3,118,141.6,-8.375000000000002,-0.9822495987597367,0.4745762711864407,0.288135593220339,-36.45,-0.07097457627118645
0.2,0.6,0.1,118,141.6,2.575000000000002,0.4913023057173668,0.788135593220339,0.7627118644067796,-11.824999999999998,0.0218220338983051
0.2,0.6,0.12,118,141.6,0.9000000000000008,0.16906255926436492,0.7457627118644068,0.711864406779661,-11.625,0.007627118644067807
0.2,0.6,0.15,118,141.6,4.1000000000000005,0.5919732601093725,0.6949152542372882,0.635593220338983,-13.825,0.034745762711864414
0.2,0.6,0.18,118,141.6,11.174999999999992,1.5358760709769743,0.6779661016949152,0.6101694915254238,-11.825000000000001,0.09470338983050844
0.2,0.6,0.2,118,141.6,5.025000000000002,0.6741046532150009,0.635593220338983,0.559322033898305,-15.774999999999999,0.04258474576271188
0.2,0.6,0.22,118,141.6,-9.724999999999993,-1.2896266294359948,0.5677966101694916,0.4745762711864407,-33.125,-0.08241525423728809
0.2,0.6,0.25,118,141.6,-10.825000000000005,-1.3367191502679772,0.5254237288135594,0.3983050847457627,-33.475,-0.09173728813559319
0.2,0.6,0.3,118,141.6,-8.375000000000002,-0.9822495987597367,0.4745762711864407,0.288135593220339,-36.45,-0.07097457627118645
0.2,0.65,0.1,118,141.6,2.575000000000002,0.4913023057173668,0.788135593220339,0.7627118644067796,-11.824999999999998,0.0218220338983051
0.2,0.65,0.12,118,141.6,0.9000000000000008,0.16906255926436492,0.7457627118644068,0.711864406779661,-11.625,0.007627118644067807
0.2,0.65,0.15,118,141.6,4.1000000000000005,0.5919732601093725,0.6949152542372882,0.635593220338983,-13.825,0.034745762711864414
0.2,0.65,0.18,118,141.6,11.174999999999992,1.5358760709769743,0.6779661016949152,0.6101694915254238,-11.825000000000001,0.09470338983050844
0.2,0.65,0.2,118,141.6,5.025000000000002,0.6741046532150009,0.635593220338983,0.559322033898305,-15.774999999999999,0.04258474576271188
0.2,0.65,0.22,118,141.6,-9.724999999999993,-1.2896266294359948,0.5677966101694916,0.4745762711864407,-33.125,-0.08241525423728809
0.2,0.65,0.25,118,141.6,-10.825000000000005,-1.3367191502679772,0.5254237288135594,0.3983050847457627,-33.475,-0.09173728813559319
0.2,0.65,0.3,118,141.6,-8.375000000000002,-0.9822495987597367,0.4745762711864407,0.288135593220339,-36.45,-0.07097457627118645
0.2,0.7,0.1,118,141.6,2.575000000000002,0.4913023057173668,0.788135593220339,0.7627118644067796,-11.824999999999998,0.0218220338983051
0.2,0.7,0.12,118,141.6,0.9000000000000008,0.16906255926436492,0.7457627118644068,0.711864406779661,-11.625,0.007627118644067807
0.2,0.7,0.15,118,141.6,4.1000000000000005,0.5919732601093725,0.6949152542372882,0.635593220338983,-13.825,0.034745762711864414
0.2,0.7,0.18,118,141.6,11.174999999999992,1.5358760709769743,0.6779661016949152,0.6101694915254238,-11.825000000000001,0.09470338983050844
0.2,0.7,0.2,118,141.6,5.025000000000002,0.6741046532150009,0.635593220338983,0.559322033898305,-15.774999999999999,0.04258474576271188
0.2,0.7,0.22,118,141.6,-9.724999999999993,-1.2896266294359948,0.5677966101694916,0.4745762711864407,-33.125,-0.08241525423728809
0.2,0.7,0.25,118,141.6,-10.825000000000005,-1.3367191502679772,0.5254237288135594,0.3983050847457627,-33.475,-0.09173728813559319
0.2,0.7,0.3,118,141.6,-8.375000000000002,-0.9822495987597367,0.4745762711864407,0.288135593220339,-36.45,-0.07097457627118645
0.25,0.45,0.1,102,122.4,-3.9499999999999984,-0.8556230506027328,0.7745098039215687,0.7647058823529411,-13.999999999999998,-0.038725490196078426
0.25,0.45,0.12,102,122.4,-3.7250000000000005,-0.7670654485399038,0.7352941176470589,0.7156862745098039,-14.700000000000001,-0.03651960784313726
0.25,0.45,0.15,102,122.4,0.8500000000000014,0.13389662545360634,0.6862745098039216,0.6372549019607843,-14.9,0.00833333333333333
0.25,0.45,0.18,102,122.4,9.649999999999997,1.4986213505550907,0.6764705882352942,0.6176470588235294,-9.725000000000007,0.09460784313725487
0.25,0.45,0.2,102,122.4,5.975000000000001,0.8907678181213974,0.6372549019607843,0.5686274509803921,-13.375,0.058578431372549034
0.25,0.45,0.22,102,122.4,-9.574999999999994,-1.3892129674132976,0.5588235294117647,0.47058823529411764,-30.424999999999997,-0.09387254901960779
0.25,0.45,0.25,102,122.4,-13.250000000000002,-1.8037368233321123,0.5098039215686274,0.39215686274509803,-33.05,-0.12990196078431374
0.25,0.45,0.3,102,122.4,-12.550000000000002,-1.586426405984074,0.45098039215686275,0.2647058823529412,-37.275000000000006,-0.12303921568627453
0.25,0.5,0.1,116,139.2,1.575000000000002,0.299121784699001,0.7844827586206896,0.7586206896551724,-12.824999999999998,0.013577586206896562
0.25,0.5,0.12,116,139.2,-0.2999999999999985,-0.05611726607897976,0.7413793103448276,0.7068965517241379,-12.825000000000001,-0.002586206896551696
0.25,0.5,0.15,116,139.2,2.6000000000000005,0.3744400049928677,0.6896551724137931,0.6293103448275862,-15.324999999999998,0.02241379310344828
0.25,0.5,0.18,116,139.2,9.374999999999991,1.2850148933524925,0.6724137931034483,0.603448275862069,-13.625000000000002,0.08081896551724137
0.25,0.5,0.2,116,139.2,3.025000000000002,0.4053084039027599,0.6293103448275862,0.5517241379310345,-17.775,0.02607758620689657
0.25,0.5,0.22,116,139.2,-11.924999999999992,-1.5648042400203575,0.5603448275862069,0.46551724137931033,-35.324999999999996,-0.10280172413793098
0.25,0.5,0.25,116,139.2,-13.325000000000005,-1.6296770730393098,0.5172413793103449,0.3879310344827586,-35.975,-0.11487068965517241
0.25,0.5,0.3,116,139.2,-11.375000000000002,-1.3211660957718268,0.46551724137931033,0.27586206896551724,-39.45,-0.09806034482758617
0.25,0.55,0.1,118,141.6,2.575000000000002,0.4913023057173668,0.788135593220339,0.7627118644067796,-11.824999999999998,0.0218220338983051
0.25,0.55,0.12,118,141.6,0.9000000000000008,0.16906255926436492,0.7457627118644068,0.711864406779661,-11.625,0.007627118644067807
0.25,0.55,0.15,118,141.6,4.1000000000000005,0.5919732601093725,0.6949152542372882,0.635593220338983,-13.825,0.034745762711864414
